d_date_only,t_start,t_end,t_title,t_description_x,t_link_x,t_image,t_crew_x,t_song_list,v_jamdate,v_rating,v_namedate,v_author,v_description_y,v_location,v_summary,v_link_y,v_pubDate,v_category,v_explicit,v_duration,v_keywords,v_enclosure_url,v_enclosure_length,v_enclosure_type,v_crew_y,v_jam summary,v_song_list,d_proper_date,d_date,f_singles,l_loops,d_crew_merged,v_song_list_cleanedup,d_merged_song_lists
Jan 01 1997,Jan 1 1997 18:00:00 EST,Jan 1 1997 21:00:00 EST,Jan 1,,,images/jam/blank.jpg,"Maximus, Snuffler, Zig","Breakdown, I like me moods, thoughts Weinberg, Turtle Bop, Get in Queue, Paean to Freddie",,,,,,,,,,,,,,,,,,,,Jan 01 1997,1997-01-01,,,"Maximus, Snuffler, Zig",,"Breakdown, I like me moods, thoughts Weinberg, Turtle Bop, Get in Queue, Paean to Freddie"
Jan 23 1997,Jan 23 1997 18:00:00 EST,Jan 23 1997 21:00:00 EST,Jan 23,,,images/jam/blank.jpg,"Nick Marvinhamlisch, James, Peetah, Maximus, Snuffler, Zig, a guy","FunkGrooveThang, Drum Solo, Hard Space",,,,,,,,,,,,,,,,,,,,Jan 23 1997,1997-01-23,,,"Bavo, James, Maximus, NickDub, Snuffler, Zig, unknown",,"FunkGrooveThang, Drum Solo, Hard Space"
Jun 23 1997,Jun 23 1997 18:00:00 EST,Jun 23 1997 21:00:00 EST,Jun 23,,,images/jam/blank.jpg,"Stu, SRC, T-Bone, Peetah, Haze, Maximus, Snuffler, Zig","Blues, Funk, Worried 'bout You, Lost, You're Fucked (Thomas - drums), Drum Off, Drum Intro Funk",,,,,,,,,,,,,,,,,,,,Jun 23 1997,1997-06-23,,,"Bavo, Haze, Maximus, SRC, Snuffler, Stu, TBonk, Zig",,"Blues, Funk, Worried 'bout You, Lost, You're Fucked (Thomas - drums), Drum Off, Drum Intro Funk"
Jul 23 1997,Jul 23 1997 18:00:00 EST,Jul 23 1997 21:00:00 EST,Jul 23,,,images/jam/blank.jpg,"Maximus, Snuffler, Zig","True Blue, Nighting",,,,,,,,,,,,,,,,,,,,Jul 23 1997,1997-07-23,19970723_2.mp3,,"Maximus, Snuffler, Zig",,"True Blue, Nighting"
Oct 26 1997,Oct 26 1997 18:00:00 EST,Oct 26 1997 21:00:00 EST,Oct 26,,,images/jam/blank.jpg,"SRC, Haze, Ed, Sweet, Pete, Maximus, Snuffler, Zig","Funk Jam, Ptak on the High Seas",,,,,,,,,,,,,,,,,,,,Oct 26 1997,1997-10-26,,,"Bavo, Haze, Head, Maximus, SRC, Snuffler, SweetP, Zig",,"Funk Jam, Ptak on the High Seas"
Nov 22 1997,Nov 22 1997 18:00:00 EST,Nov 22 1997 21:00:00 EST,Nov 22,,,images/jam/blank.jpg,"Ed, Joel, Maximus, Snuffler, Zig","Vision, Junkie, Deadly",,,,,,,,,,,,,,,,,,,,Nov 22 1997,1997-11-22,,,"Head, Joel, Maximus, Snuffler, Zig",,"Vision, Junkie, Deadly"
Dec 07 1997,Dec 7 1997 18:00:00 EST,Dec 7 1997 21:00:00 EST,Dec 7,,,images/jam/blank.jpg,"Maximus, Snuffler, Haze, Stu","Welcome Back Nick, The Other Side, Oscar, Standard",,,,,,,,,,,,,,,,,,,,Dec 07 1997,1997-12-07,,,"Haze, Maximus, Snuffler, Stu",,"Welcome Back Nick, The Other Side, Oscar, Standard"
Dec 30 1997,Dec 30 1997 18:00:00 EST,Dec 30 1997 21:00:00 EST,Dec 30,,/songs/19971230.mp3,images/jam/blank.jpg,"Stu, T-Bone, PeeTah, Haze, Maximus, Snuf","Tribute, Blues, T-Bar Blues, FreeFall, Jam #47, A Love Supreme, Jerk Chicken, Insightful Crap, Blockhead, Fame, Gratuity",,,,,,,,,,,,,,,,,,,,Dec 30 1997,1997-12-30,"19971230_1.mp3, 19971230_10.mp3, 19971230_11.mp3, 19971230_2.mp3, 19971230_3.mp3, 19971230_4.mp3, 19971230_5.mp3, 19971230_6.mp3, 19971230_7.mp3, 19971230_8.mp3, 19971230_9.mp3","Bass Groove 1, Clatter","Haze, Maximus, PeeTah, Snuffler, Stu, TBonk",,"Tribute, Blues, T-Bar Blues, FreeFall, Jam #47, A Love Supreme, Jerk Chicken, Insightful Crap, Blockhead, Fame, Gratuity"
Jan 31 1998,Jan 31 1998 18:00:00 EST,Jan 31 1998 21:00:00 EST,Jan 31,,,images/jam/blank.jpg,"T-Bone, Creed, Haze, Maximus, Snuffler","Essence - Movements I, II, III, IV",,,,,,,,,,,,,,,,,,,,Jan 31 1998,1998-01-31,,,"Creed, Haze, Maximus, Snuffler, TBonk",,"Essence - Movements I, II, III, IV"
Feb 14 1998,Feb 14 1998 18:00:00 EST,Feb 14 1998 21:00:00 EST,Feb 14,,,images/jam/blank.jpg,"Maximus, T-Bone, Snuffler",Rob's Tasty Bit,,,,,,,,,,,,,,,,,,,,Feb 14 1998,1998-02-14,19980214_1.mp3,,"Maximus, Snuffler, TBonk",,Rob's Tasty Bit
