session_id,song_id,position
1,1,
1,2,
1,3,
1,4,
1,5,
1,6,
2,7,
2,8,
2,9,
3,10,
3,11,
3,12,
3,13,
3,14,
3,15,
3,16,
4,17,2
4,18,
5,19,
5,20,
6,21,
6,22,
6,23,
7,24,
7,25,
7,26,
7,27,
8,28,1
8,29,2
8,30,3
8,31,4
8,32,5
8,33,6
8,34,7
8,35,8
8,36,9
8,37,10
8,38,11
9,39,
9,40,
9,41,
9,42,
10,43,1
11,44,1
11,45,2
12,46,1
12,47,
12,48,
12,49,
12,50,
13,51,
13,52,
13,53,
14,54,1
15,55,1
15,56,2
15,57,3
16,58,1
16,59,2
16,60,3
16,61,4
17,62,1
18,63,1
18,64,2
18,65,3
18,66,4
19,67,1
19,68,2
19,69,3
19,70,4
20,71,1
20,72,2
21,73,
21,74,
22,75,1
22,76,2
22,77,3
23,78,
24,79,1
24,80,2
25,81,
25,82,
25,83,
26,84,
26,85,
26,86,
27,87,
27,88,
27,89,
27,90,
28,91,
29,92,
29,93,
29,94,
29,95,
29,96,
30,97,1
30,98,2
31,99,1
35,100,1
35,101,2
37,102,
37,103,
38,104,
38,105,
38,106,
41,107,2
41,108,4
41,109,
41,110,
41,111,
42,112,1
42,113,2
42,114,8
42,115,
42,116,
42,117,
42,118,
42,119,
42,120,
43,121,3
43,122,4
43,123,
43,124,
44,125,1
45,126,1
45,127,2
45,128,
45,129,
45,130,
45,131,
46,132,1
48,133,1
48,134,2
48,135,3
48,136,5
48,137,
49,138,1
49,139,
49,140,
49,141,
50,142,1
50,143,2
50,144,3
50,145,4
50,146,5
50,147,
51,148,1
51,149,2
51,150,3
52,151,1
53,152,1
53,153,2
53,154,3
53,155,4
53,156,5
54,157,1
54,158,2
55,159,1
56,160,1
57,161,1
57,162,2
57,163,3
57,164,4
57,165,
58,166,1
59,167,1
59,168,2
60,169,1
60,170,2
60,171,3
61,172,1
61,173,2
61,174,3
61,175,4
61,176,5
61,177,6
61,178,8
61,179,
62,180,1
62,181,2
62,182,3
63,183,1
63,184,2
63,185,3
64,186,1
64,187,2
64,188,3
64,189,4
64,190,5
64,191,6
64,192,7
65,193,1
65,194,2
65,195,3
65,196,4
66,197,1
66,198,2
66,199,3
66,200,4
66,201,5
71,202,1
71,203,2
71,204,3
71,205,4
71,206,5
71,207,6
71,208,7
74,209,
74,210,
74,211,
74,212,
74,213,
74,214,
74,215,
81,216,1
81,217,2
81,218,3
81,219,4
81,220,5
81,221,6
81,222,7
81,223,8
81,224,9
81,225,10
86,226,1
86,227,2
86,228,3
86,229,4
86,230,5
86,231,6
86,232,7
86,233,8
86,234,9
86,235,10
86,236,11
86,237,12
86,238,13
91,239,1
91,240,2
91,241,3
91,242,4
91,243,5
91,244,6
91,245,7
91,246,8
91,247,9
91,248,10
91,249,11
92,250,1
92,251,2
92,252,3
92,253,4
92,254,5
92,255,6
92,256,7
93,257,1
93,258,2
93,259,3
93,260,4
93,261,5
93,262,6
93,263,7
93,264,8
93,265,9
93,266,10
93,267,11
93,268,12
93,269,13
93,270,14
94,271,1
94,272,2
94,273,3
94,274,4
94,275,5
94,276,6
94,277,7
94,278,8
94,279,9
95,280,1
95,281,2
95,282,3
95,283,4
95,284,5
95,285,6
95,286,7
95,287,8
95,288,9
95,289,10
95,290,11
95,291,12
95,292,13
96,293,1
97,294,1
97,295,2
97,296,3
97,297,4
97,298,5
97,299,6
97,300,7
97,301,8
97,302,9
98,303,1
98,304,2
98,305,3
98,306,4
98,307,5
98,308,6
98,309,7
98,310,8
98,311,9
98,312,10
98,313,11
98,314,12
98,315,13
98,316,14
99,317,1
99,318,2
99,319,3
99,320,4
99,321,5
99,322,6
99,323,7
99,324,8
99,325,9
99,326,10
99,327,11
99,328,12
99,329,13
99,330,14
99,331,15
99,332,16
99,333,17
100,334,1
100,335,2
100,336,3
100,337,4
100,338,5
100,339,6
100,340,7
101,341,1
101,342,2
101,343,3
101,344,4
101,345,5
101,346,6
101,347,7
101,348,8
101,349,9
101,350,10
101,351,11
101,352,12
102,353,1
102,354,2
102,355,3
102,356,4
102,357,5
102,358,6
102,359,7
102,360,8
102,361,9
103,362,1
103,363,2
103,364,3
103,365,4
103,366,5
103,367,6
103,368,7
103,369,8
103,370,9
103,371,10
103,372,11
104,373,1
104,374,2
104,375,3
104,376,4
104,377,5
104,378,6
104,379,7
104,380,8
104,381,9
104,382,10
104,383,11
104,384,12
104,385,13
104,386,14
104,387,15
105,388,1
105,389,2
105,390,3
105,391,4
105,392,5
105,393,6
105,394,7
105,395,8
105,396,9
105,397,10
106,398,1
106,399,2
106,400,3
106,401,4
106,402,5
106,403,6
106,404,7
106,405,8
106,406,9
106,407,10
106,408,11
106,409,12
106,410,13
107,411,1
107,412,2
107,413,3
107,414,4
107,415,5
107,416,6
107,417,7
107,418,8
108,419,1
108,420,2
108,421,3
108,422,4
108,423,5
108,424,6
108,425,7
108,426,8
109,427,1
109,428,2
109,429,3
109,430,4
109,431,5
109,432,6
110,433,1
110,434,2
110,435,3
110,436,4
110,437,5
110,438,6
110,439,7
110,440,8
110,441,9
110,442,10
110,443,11
111,444,1
111,445,2
111,446,3
111,447,4
111,448,5
111,449,6
111,450,7
111,451,8
111,452,9
112,453,1
112,454,2
112,455,3
112,456,4
112,457,5
112,458,6
112,459,7
112,460,8
112,461,9
112,462,10
113,463,1
113,464,2
113,465,3
113,466,4
113,467,5
113,468,6
113,469,7
113,470,8
113,471,9
113,472,10
113,473,11
113,474,12
113,475,13
113,476,14
114,477,1
114,478,2
114,479,3
114,480,4
114,481,5
114,482,6
114,483,7
114,484,8
114,485,9
114,486,10
114,487,11
114,488,12
114,489,13
114,490,14
115,491,1
115,492,2
115,493,3
115,494,4
115,495,5
115,496,6
115,497,7
115,498,8
115,499,9
116,500,1
116,501,2
116,502,3
116,503,4
116,504,5
116,505,6
116,506,7
116,507,8
116,508,9
116,509,10
116,510,11
116,511,12
116,512,13
117,513,1
117,514,2
117,515,3
117,516,4
117,517,5
117,518,6
117,519,7
117,520,8
117,521,9
117,522,10
117,523,11
117,524,12
117,525,13
117,526,14
118,527,1
118,528,2
118,529,3
118,530,4
118,531,5
118,532,6
118,533,7
118,534,8
118,535,9
118,536,10
118,537,11
118,538,12
118,539,13
118,540,14
119,541,1
119,542,2
119,543,3
119,544,4
119,545,5
119,546,6
119,547,7
119,548,8
119,549,9
119,550,10
119,551,11
119,552,12
120,553,1
120,554,2
120,555,3
120,556,4
120,557,5
120,558,6
120,559,7
120,560,8
120,561,9
120,562,10
121,563,1
121,564,2
121,565,3
121,566,4
121,567,5
121,568,6
121,569,7
121,570,8
121,571,9
121,572,10
121,573,11
121,574,12
122,575,1
122,576,2
122,577,3
122,578,4
122,579,5
122,580,6
122,581,7
122,582,8
122,583,9
122,584,10
122,585,11
122,586,12
122,587,13
123,588,1
123,589,2
123,590,3
123,591,4
123,592,5
123,593,6
123,594,7
123,595,8
123,596,9
123,597,10
123,598,11
123,599,12
123,600,13
124,601,1
124,602,2
124,603,3
124,604,4
124,605,5
124,606,6
124,607,7
124,608,8
124,609,9
125,610,1
125,611,2
125,612,3
125,613,4
125,614,5
125,615,6
125,616,7
125,617,8
125,618,9
125,619,10
125,620,11
126,621,1
126,622,2
126,623,3
126,624,4
126,625,5
126,626,6
126,627,7
126,628,8
126,629,8
126,630,9
127,631,1
127,632,2
127,633,3
127,634,4
127,635,5
127,636,6
127,637,7
127,638,8
127,639,9
127,640,10
128,641,1
128,642,2
128,643,3
128,644,4
128,645,5
128,646,6
128,647,7
128,648,8
128,649,9
128,650,10
129,651,1
129,652,2
129,653,3
129,654,4
129,655,5
129,656,6
129,657,7
129,658,8
129,659,9
129,660,10
130,661,1
130,662,2
130,663,3
130,664,4
130,665,5
130,666,6
130,667,7
130,668,8
130,669,9
131,670,1
131,671,2
131,672,3
131,673,4
131,674,5
131,675,6
131,676,7
131,677,8
131,678,9
131,679,10
131,680,11
131,681,12
131,682,13
131,683,14
131,684,15
131,685,16
131,686,17
132,687,1
132,688,2
132,689,3
132,690,4
132,691,5
132,692,6
132,693,7
132,694,8
132,695,9
132,696,10
132,697,11
132,698,12
133,699,1
133,700,2
133,701,3
133,702,4
133,703,5
133,704,6
133,705,7
133,706,8
133,707,9
133,708,10
134,709,1
134,710,2
134,711,3
134,712,4
134,713,5
134,714,6
134,715,7
134,716,8
134,717,9
134,718,10
134,719,11
134,720,12
134,721,13
134,722,14
134,723,15
135,724,1
135,725,2
135,726,3
135,727,4
135,728,5
135,729,6
135,730,7
135,731,8
135,732,9
135,733,10
135,734,11
135,735,12
135,736,13
135,737,14
83,738,1
83,739,2
83,740,3
83,741,4
83,742,5
83,743,6
83,744,7
83,745,8
83,746,9
83,747,10
83,748,
136,749,1
136,750,2
136,751,3
136,752,4
136,753,5
136,754,6
136,755,7
136,756,8
136,757,9
136,758,10
136,759,11
136,760,12
