file_id,file_name,file_type,duration_seconds
1,StormPigs20021024_1_fleshmachine.mp4,video,503
2,StormPigs20021024_2_fountainofstillness.mp4,video,1182
3,StormPigs20021024_3_gettingold.mp4,video,786
4,StormPigs20021024_4_hollowbody.mp4,video,565
5,StormPigs20021024_5_likeadrugaddict.mp4,video,438
6,20050303_1.mp3,audio,360
7,20050303_2.mp3,audio,445
8,20050303_3.mp3,audio,387
9,20050303_4.mp3,audio,794
10,20050303_5.mp3,audio,469
11,20050303_6.mp3,audio,584
12,20050303_7.mp3,audio,596
13,20050303_8.mp3,audio,392
14,20050303_9.mp3,audio,1134
15,20050303_10.mp3,audio,346
